Dia,PCR,PR,AG,Casos_Totales
2021-09-06,7447,15911,9842,33200
2021-09-07,7461,15915,9860,33236
2021-09-08,7470,15924,9870,33264
2021-09-09,7478,15929,9881,33288
2021-09-10,7488,15938,9900,33326
2021-09-11,7494,15943,9906,33343
2021-09-12,7494,15944,9910,33348
2021-09-13,7502,15951,9921,33374
2021-09-14,7512,15953,9932,33397
2021-09-15,7518,15960,9949,33427
2021-09-16,7530,15962,9956,33448
2021-09-17,7536,15966,9967,33469
2021-09-18,7536,15970,9976,33482
2021-09-19,7543,15970,9981,33494
2021-09-20,7545,15975,9993,33513
2021-09-21,7549,15981,10002,33532
2021-09-22,7552,15985,10011,33548
2021-09-23,7554,15995,10019,33568
2021-09-24,7557,16000,10031,33588
2021-09-25,7558,16004,10035,33597
2021-09-26,7558,16005,10039,33602
2021-09-27,7563,16010,10052,33625
2021-09-28,7570,16015,10069,33654
2021-09-29,7578,16019,10090,33687
2021-09-30,7581,16034,10099,33714
2021-10-01,7583,16037,10111,33731
2021-10-02,7588,16040,10117,33745
2021-10-03,7588,16040,10120,33748
2021-10-04,7595,16042,10129,33766
2021-10-05,7599,16044,10141,33784
2021-10-06,7601,16046,10149,33796
2021-10-07,7606,16047,10160,33813
2021-10-08,7611,16050,10166,33827
2021-10-09,7614,16056,10168,33838
2021-10-10,7614,16058,10171,33843
2021-10-11,7619,16061,10176,33856
2021-10-12,7626,16063,10182,33871
