Fecha,Dia,Casos,NuevosCasos,%DifCases,CasosActivos,NuevosCasesActivos,Fallecidos,NuevasFallecidos,%DifDeaths,TasaMortalidad,Pruebas,NuevasPruebas,%DifTests,%PruebasPositivasDiarias,Recuperados,NuevosRecuperados,%DifRecuperados,Hospitalizados,NuevosHospitalizados,%DiffHospitalized
2020-03-29,26.0,852.0,181.0,1.2697466467958272,834.0,179.0,18.0,2.0,1.125,0.02112676056338028,12669.0,1773.0,1.1627202643171806,0.1020868584320361,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,27.0,950.0,98.0,1.1150234741784038,926.0,92.0,24.0,6.0,1.3333333333333333,0.02526315789473684,13452.0,783.0,1.0618044044518116,0.1251596424010217,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,28.0,1065.0,115.0,1.1210526315789473,1035.0,109.0,30.0,6.0,1.25,0.028169014084507043,14463.0,1011.0,1.0751561106155219,0.11374876360039565,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,29.0,1323.0,258.0,1.2422535211267605,1276.0,241.0,47.0,17.0,1.5666666666666667,0.03552532123960695,15587.0,1124.0,1.0777155500241997,0.22953736654804271,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,30.0,1414.0,91.0,1.0687830687830688,1359.0,83.0,55.0,8.0,1.1702127659574468,0.038896746817538894,16518.0,931.0,1.059729261564124,0.09774436090225563,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,31.0,1595.0,181.0,1.128005657708628,1534.0,175.0,61.0,6.0,1.1090909090909091,0.03824451410658307,17334.0,816.0,1.0494006538321832,0.22181372549019607,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,32.0,1746.0,151.0,1.0946708463949844,1673.0,139.0,73.0,12.0,1.1967213114754098,0.0418098510882016,17841.0,507.0,1.0292488750432676,0.2978303747534517,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,33.0,2281.0,535.0,1.3064146620847652,1209.0,-464.0,83.0,10.0,1.1369863013698631,0.03638754932047348,19410.0,1569.0,1.0879435009248362,0.3409815168897387,989.0,989.0,989.0,0.0,0.0,0.0
2020-04-06,34.0,2561.0,280.0,1.122753178430513,1472.0,263.0,92.0,9.0,1.108433734939759,0.035923467395548615,20414.0,1004.0,1.0517259144770736,0.2788844621513944,997.0,8.0,1.0080889787664307,0.0,0.0,0.0
2020-04-07,35.0,2954.0,393.0,1.1534556813744632,1616.0,144.0,107.0,15.0,1.1630434782608696,0.036222071767095465,21555.0,1141.0,1.055893014597825,0.3444347063978966,1231.0,234.0,1.234704112337011,0.0,0.0,0.0
